X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
91.8411781348063,22.8501898435141,2828406228,node,9,,hospital,,,,,22058971,,,,4598ac8e8c6d47a4a3b95d0806ca4a5d,,,,,,,1,,2014/05/01 07:56:20,,,,Manikchari Upazila Health Complex,,Md Alamgir,,,,,,
91.8160555593385,22.361220541594,2208720876,node,9,,hospital,,,,,50800923,,,,a04a1cd481df436280d5910aaecdb87a,,,,,,,2,,2017/08/03 08:59:16,,,,Lions Charitable Eye Hospital,,asmi84,,,,,,
,,540615652,way,12,,hospital,,,,,53792969,,,,cca3f821bbb0489182b0da78f9ce2cc2,,,,,,,1,,2017/11/15 07:10:00,,,,HSTU Medical Center,,AHM Bodruddoza,,,,,hospital,
90.3706611491775,23.8265395737888,4432181691,node,12,,pharmacy,,,,,50474089,,,,1474e45d95904faf8b04eaee74793587,,,,,,,3,,2017/07/22 05:10:12,,,Dhaka,Hena Medicine Point(হেনা মেডিসিন পয়েন্ট),,asmi84,,,,,,
90.3766463309576,23.8941806942087,2895202033,node,9,,hospital,,,,,49632028,,,,0331c90066cb4b4b95bf70ab04b27674,,,,,,,2,,2017/06/18 10:35:43,,,,East West Medical College and Hospital,,Atikur Rahman atik,,,,,,
92.297411327149,20.8757070739023,5121901801,node,6,,hospital,,,,,52275129,,,,8df6a206dfef4c818e17b126765717ac,,,,,,,1,,2017/09/22 12:38:12,,,,,,carlitos gomez,,,,,,
92.1461619798587,21.2151148923742,6842499685,node,9,,hospital,,,,,75175405,,,,0ec44e633bfd45cfa5991c9a20ce7d72,,24/7,,,,,1,,2019/10/02 01:43:50,,,,,,Rasel Mohammad,,,,,,
90.3558361608535,23.7632951806785,6968440886,node,21,,pharmacy,,5,,,76947752,,,,83031237ef9c4516a10cf2fbb7210969,,,,,,,1,,2019/11/12 08:49:29,157,1207,Dhaka,Nur Pharma,,arafin,,,,,,
90.398072822402,23.7256642911049,401827549,node,9,,hospital,,,,,1211154,,,,cf8f4fd02a7243d9b9dc34f7a905c5af,,,,,,,1,,2009/05/16 19:39:37,,,,Dhaka Medical College Hospital,,syedmahm,,,,,,
90.3593874894091,23.7685270808203,7419065759,node,31,,pharmacy,,"Haji Chino Mia Road, Tikkapara",,,84125996,,,,84b91500e47748189714fafa670d9a13,,09:00-22:00,,,,,2,,2020/04/26 01:34:00,"Block- F, 15/6",1207,"Mohammadpur, Dhaka",Bismillah Pharmacy & Baby Care,,HubMiner,,,,yes,pharmacy,
90.3765989732046,23.7196261356967,4508575874,node,12,,clinic,,,,,43851955,,,,bb731186227a420ab5d3ce38ff6b3a46,,,,NextView,,,2,,2016/11/21 17:10:18,,,,Marie Stopes Clinic,,tasauf1980,,,,,,
,,436048723,way,6,,pharmacy,,,,,42978553,,,,f7063d13eef44ede81c6b99fd395ce65,,,,,,,2,,2016/10/18 09:05:00,,,,,,Raven Nahid,,,,,,
90.3722000666002,23.7577382303315,6902628622,node,21,,,,Lalmatia Road,,,76228615,,,,9c42c585807c4ec9922fcca5039aca63,,,,,,,2,,2019/10/25 20:58:10,7/3/A,1207,Dhaka,Estern Care Diagnostic,,dgitto,,,,,laboratory,
89.631880371102,23.0412289233593,3794108602,node,9,,pharmacy,,,,,43759191,,,,208b80919e3e4310989b42dfeade215b,,,,,,,2,,2016/11/18 09:56:40,,,,Das Medical,,Sawan Shariar,,,,,,
,,367199585,way,31,,hospital,"general;psychiatry;orthopaedics;orthodontics;cardiology",বেগম রোকেয়া সরণী,Popular,,83784513,,,,da44bc2dbe2d4075861eee31746df072,,,,,,,4,,2020/04/19 20:13:16,,1216,Mirpur Original -10,Popular Diagonistic Center Unit-1,,AshrafulSium,,,,,hospital,private
90.3638241983969,23.7601961396181,6908693896,node,21,,pharmacy,,Salimullah Road,,,76228615,,,,c2ca93432e934383beb3d1e6a334d896,,,,,,,2,,2019/10/25 20:58:10,11/19,1207,Dhaka,Akash Homeo,,dgitto,,,,,,
,,535555800,way,12,,hospital,,,,,53260489,,,,f2c0abd915e249229b831a325a305dbf,,,,,,,1,,2017/10/26 11:16:47,,,,Pirganj upajila health complex,,AHM Bodruddoza,,,,,hospital,
90.3631802167761,23.8284726921177,4432181542,node,15,,pharmacy,,৬ নং সুজাত নগর,,,42649157,,,,accd751ba989413f8eac389dcbed235d,,,,,,,1,,2016/10/05 06:55:20,,,Dhaka,Bangladesh Clinic(বাংলাদেশ ক্লিনিক),,mmahmud,,,,,,
90.4095843605824,23.7513329475644,4077093210,node,9,,pharmacy,,,,,38047041,,,,7098a12c73be4fbebc86ed0383d694ce,,,,,,,1,,2016/03/24 18:32:46,,,,Shoily Pharmecy,,Sawan Shariar,,,,,,
90.3899096869013,23.7418123628448,4364326292,node,15,,pharmacy,,Central Road,,,50474036,,,,aeed57edb82441d09e56279dfa270a41,,,,,,,2,,2017/07/22 05:40:58,A5/5,,,Khandokar Pharmadicaloy,,kazi tusher,,,,,,
91.8532443873387,24.9003677366672,265945386,node,9,,hospital,,,,,51694744,,,,58624a54632443388d7b541081440564,,,,,,,5,,2017/09/03 14:53:43,,,,"M.A.G Osmani Medical College Hospital, Sylhet",,tasauf1980,,,,,,
90.3622269429282,23.7663042839178,6902633004,node,21,,pharmacy,,Humayun Road,,,76228615,,,,27cd09ebdb6a4d069719f8d44165755c,,,,,,,2,,2019/10/25 20:58:10,9/17,1207,Dhaka,Nurjahan & Co,,dgitto,,,,,,
90.363993345203,23.8235695302182,4432181695,node,18,,pharmacy,,২,,,42649157,,,,e7d9002c8ee44be1a99a38bf35f355b7,,,,,,,1,,2016/10/05 06:55:24,৭,,Dhaka,Ibnesina Homeo Pharmacy(ইবনেসিনা হোমিও ফার্মাসি),,mmahmud,,,,,,
,,321032560,way,6,,clinic,,,,,28303356,,,,1fe00a7ac6114a69ab962497c9e83562,,,,,,,3,,2015/01/21 10:38:43,,,,,,Nabila Ahmed Orin,,,,,,
90.427884066867,23.7014877810483,3532608714,node,9,,dentist,,,,,34057778,,,,f2c0c87d2836468cac0f07e0b6129556,,,,,,,3,,2015/09/16 08:57:12,,,,Faith Dental Care,,Muhibur Rahman,,,,,,
91.8999106332573,23.2972125815546,2382267550,node,9,,hospital,,,,,16925124,,,,334d1cf40cd24be48349180ef1e7d944,,,,,,,1,,2013/07/12 11:57:39,,,,Panchari Upazila Health Complex,,Md Alamgir,,,,,,
91.3069403531408,23.2640779963004,5125806767,node,12,,pharmacy,,,,,75449142,,,,e9219c86f6b54cb38625464cc47fa6ec,,,,,,,2,,2019/10/09 09:25:47,,,,JMI Syringes & Medical Devices Ltd.,,rakibdc,,,,,pharmacy,
91.8312056816866,22.3610906220948,2209597873,node,9,,hospital,,,,,61784903,,,,95f0dec58b634ccaa59c4c6a7a85f71a,,,,,,,3,,2018/08/19 05:38:19,,,,Chittagong Shishu Hospital,,Ashraf Shakil,,,,,,
90.5954281692026,23.8149243514661,5206043441,node,15,,pharmacy,,,,,53446573,,,,00b19e6d7e6944cab7b602654aaff161,,,,,,,1,,2017/11/02 09:51:36,,,Dhaka - Sylhet Hwy,Alif Homoeo Hall,,abdurRob,,,,,pharmacy,
91.1499636514121,23.0155771983442,6658461746,node,25,,hospital,"general;clinic",আব্দুল করিম মুন্সী সড়ক,,,72832996,,,,ef2e9264af1f4043a5b011c01bc4cd06,,,,,,,5,,2019/07/30 23:57:30,,3838,Noakhali,কাশিপুর আল হাবিব হাসপাতাল (প্রাঃ),,Zabir91,,,,,hospital,
90.3711344752497,23.8209589864749,4322832718,node,15,,pharmacy,,,,,41057757,,,,75b6314d57a64b31919e2be1cd009637,,,,,,,3,,2016/07/27 09:45:05,৬০,,Dhaka,Chadpur Pharmacy(চাঁদপুর ফার্মেসি),,mmahmud,,,,,,
,,377710222,way,25,,pharmacy,,"Avenue-5,Line 18",,,75208922,,,+8801753046546,a958fcdf37674043bc626a4c163c3e4a,,8:00-24:00,,,,,4,,2019/10/03 04:13:28,301,,"Mirpur 11, Dhaka",Bhola Pharmacy,,rohamot,,,,,,
90.4067380339027,23.7571726195054,4062904098,node,9,,pharmacy,,,,,37991326,,,,3b9937412605462ca6104aa2a14ab4a8,,,,,,,2,,2016/03/22 05:14:33,,,,New Sunview Medicine Corner,,rmahfuz,,,,,,
90.3564354669304,23.7635691850932,6968431083,node,21,,pharmacy,,4,,,76947752,,,,581cabfa879d4c39a5c5928a75404dff,,,,,,,1,,2019/11/12 08:49:29,168,1207,Dhaka,S A Pharma,,arafin,,,,,,
91.7656931455775,24.4850407463822,6787831181,node,15,,clinic,,Shreemangal Road,,,74345197,,,,c501cb44b2d0470bb3ff6aef14bd4d36,,,,,,,1,,2019/09/11 10:08:39,,,Moulvibazar,City Diagnostics,,Ataur Rahman Shaheen,,,,,,
90.3616567220553,23.7733190986837,6900268979,node,21,,pharmacy,,Ring Road,,,76525564,,,,99893742e73a4fddbdf9ab843cef3b7d,,,,,,,2,,2019/11/02 11:34:40,38/2,1207,Dhaka,Jaki Medical Center,,mueschel,,,,,,
88.907107094334,26.2111065370696,6451134180,node,9,,pharmacy,,,,,69921907,,,,e936b95dbacd4fc4b1cd9d3872f5da3f,,,,,,,1,,2019/05/06 04:54:54,,,,জামান ফার্মেসি,,Kayser Ahmad,,,,,,
89.5099207462613,22.8978071839857,3578177138,node,6,,pharmacy,,,,,31785631,,,,f2ab805d8e57461aac7efe3b2e6b066e,,,,,,,1,,2015/06/07 09:12:39,,,,,,JAHIDUL Ahsan08,,,,,,
,,558368065,way,6,,hospital,,,,,56041849,,,,0f7ff727d64f444e9d38cd70b79f712b,,,,,,,1,,2018/02/03 23:00:09,,,,,,alexandrebc,,,,,,
