X,Y,osm_id,osm_type,completeness,#meta +operator,#meta +health_amenity_type,#meta+dispensing,#meta +speciality,#meta+is_in_health_zone,#capacity +staff,#loc+amenity,changeset_id,#access +hours,changeset_timestamp,#meta+emergency,#contact +url,#meta +operator_type,#meta +id,#meta+water_source,changeset_version,addr_street,#meta+electricity,#contact +phone,#meta+insurance,#status+operational_status,#meta+is_in_health_area,addr_postcode,addr_city,#meta+wheelchair,#capacity +beds,changeset_user,#geo+bounds+url,addr_housenumber,#meta+healthcare,#loc +name
91.8411781348063,22.8501898435141,2828406228,node,9,,,,,,,hospital,22058971,,2014/05/01 07:56:20,,,,4598ac8e8c6d47a4a3b95d0806ca4a5d,,1,,,,,,,,,,,Md Alamgir,,,,Manikchari Upazila Health Complex
91.8160555593385,22.361220541594,2208720876,node,9,,,,,,,hospital,50800923,,2017/08/03 08:59:16,,,,a04a1cd481df436280d5910aaecdb87a,,2,,,,,,,,,,,asmi84,,,,Lions Charitable Eye Hospital
,,540615652,way,12,,,,,,,hospital,53792969,,2017/11/15 07:10:00,,,,cca3f821bbb0489182b0da78f9ce2cc2,,1,,,,,,,,,,,AHM Bodruddoza,,,hospital,HSTU Medical Center
90.3706611491775,23.8265395737888,4432181691,node,12,,,,,,,pharmacy,50474089,,2017/07/22 05:10:12,,,,1474e45d95904faf8b04eaee74793587,,3,,,,,,,,Dhaka,,,asmi84,,,,Hena Medicine Point(হেনা মেডিসিন পয়েন্ট)
90.3766463309576,23.8941806942087,2895202033,node,9,,,,,,,hospital,49632028,,2017/06/18 10:35:43,,,,0331c90066cb4b4b95bf70ab04b27674,,2,,,,,,,,,,,Atikur Rahman atik,,,,East West Medical College and Hospital
92.297411327149,20.8757070739023,5121901801,node,6,,,,,,,hospital,52275129,,2017/09/22 12:38:12,,,,8df6a206dfef4c818e17b126765717ac,,1,,,,,,,,,,,carlitos gomez,,,,
92.1461619798587,21.2151148923742,6842499685,node,9,,,,,,,hospital,75175405,24/7,2019/10/02 01:43:50,,,,0ec44e633bfd45cfa5991c9a20ce7d72,,1,,,,,,,,,,,Rasel Mohammad,,,,
90.3558361608535,23.7632951806785,6968440886,node,21,,,,,,,pharmacy,76947752,,2019/11/12 08:49:29,,,,83031237ef9c4516a10cf2fbb7210969,,1,5,,,,,,1207,Dhaka,,,arafin,,157,,Nur Pharma
90.398072822402,23.7256642911049,401827549,node,9,,,,,,,hospital,1211154,,2009/05/16 19:39:37,,,,cf8f4fd02a7243d9b9dc34f7a905c5af,,1,,,,,,,,,,,syedmahm,,,,Dhaka Medical College Hospital
90.3593874894091,23.7685270808203,7419065759,node,31,,,yes,,,,pharmacy,84125996,09:00-22:00,2020/04/26 01:34:00,,,,84b91500e47748189714fafa670d9a13,,2,"Haji Chino Mia Road, Tikkapara",,,,,,1207,"Mohammadpur, Dhaka",,,HubMiner,,"Block- F, 15/6",pharmacy,Bismillah Pharmacy & Baby Care
90.3765989732046,23.7196261356967,4508575874,node,12,,,,,,,clinic,43851955,,2016/11/21 17:10:18,,,,bb731186227a420ab5d3ce38ff6b3a46,,2,,,,,,,,,,,tasauf1980,NextView,,,Marie Stopes Clinic
,,436048723,way,6,,,,,,,pharmacy,42978553,,2016/10/18 09:05:00,,,,f7063d13eef44ede81c6b99fd395ce65,,2,,,,,,,,,,,Raven Nahid,,,,
